,ITTER107,Territorio,Tipo di coltivazione,Value
50117,ITG2,Sardegna,aglio e scalogno in piena aria,7725
50125,ITC3,Liguria,mandarino,200
50127,ITD4,Friuli-Venezia Giulia,basilico in serra,577
50132,ITC3,Liguria,limone,2080
50159,ITG1,Sicilia,fava fresca in piena aria,166617
50161,ITC1,Piemonte,barbabietola da zucchero,325960
50200,ITF1,Abruzzo,girasole,81881
50218,ITE1,Toscana,fagiolino in serra,5530
50231,ITE2,Umbria,pera,6260
50268,ITE4,Lazio,patata primaticcia ,13930
50284,ITE3,Marche,indivia (riccia e scarola) in piena aria,156684
50289,ITC4,Lombardia,bietola in serra,4060
50376,ITC4,Lombardia,radicchio o cicoria in piena aria,50966
50398,ITE1,Toscana,ravanello in serra,482
50559,ITC3,Liguria,bietola da costa in piena aria,12580
50561,ITD3,Veneto,riso,198761
50566,ITF4,Puglia,radicchio o cicoria in piena aria,282730
50625,ITF1,Abruzzo,albicocca,37900
50664,ITD5,Emilia-Romagna,pisello proteico ,45770
50681,ITC1,Piemonte,fagiolo e fagiolino in piena aria,73341
50829,ITD5,Emilia-Romagna,sedano in serra,3280
50832,ITF4,Puglia,carciofo in piena aria,1242370
50887,ITE3,Marche,canapa,2506
50889,ITG2,Sardegna,ciliegia,14650
50893,ITC3,Liguria,broccoletto di rapa in piena aria,3500
50911,ITF6,Calabria,finocchio in piena aria,1191070
50919,ITF6,Calabria,arancia,3066675
50921,ITG1,Sicilia,prezzemolo in piena aria,390
50941,ITF2,Molise,clementine,180
50947,ITG1,Sicilia,cotone,40
50958,ITG2,Sardegna,cetriolo da mensa in serra,7863
50978,ITE1,Toscana,colza,25856
51029,ITE1,Toscana,mandorla,656
51047,ITD4,Friuli-Venezia Giulia,cetriolo da mensa in serra,17802
51208,ITF6,Calabria,melanzana in piena aria,218765
51242,ITF3,Campania,valeriana in serra,17790
51287,ITD3,Veneto,fragola in serra,123610
51320,ITC1,Piemonte,sorgo,120299
51322,ITF6,Calabria,asparago in piena aria,2100
51337,ITE1,Toscana,patata primaticcia ,9005
51394,ITE1,Toscana,prezzemolo in piena aria,8020
51402,ITC4,Lombardia,aglio e scalogno in piena aria,2743
51425,ITF4,Puglia,aglio e scalogno in piena aria,23460
51451,ITG2,Sardegna,bietola da costa in piena aria,8150
51461,ITC3,Liguria,lattuga in piena aria,33062
51466,ITD3,Veneto,mandorla,6
51500,ITC1,Piemonte,pera,394790
51512,ITE1,Toscana,fava fresca in piena aria,17415
51522,ITE1,Toscana,fragola in serra,7165
51524,ITE4,Lazio,ravanello in serra,117000
51559,ITC1,Piemonte,pisello in piena aria,24602
51587,ITC3,Liguria,ciliegia,1356
51603,ITC3,Liguria,mela,4400
51653,ITF3,Campania,fava da granella ,48102
51702,ITC3,Liguria,carciofo in piena aria,9280
51819,ITD5,Emilia-Romagna,mais,5879240
51829,ITE4,Lazio,finocchio in piena aria,157400
51892,ITE4,Lazio,fagiolino in serra,21940
51907,ITF2,Molise,peperone in piena aria,4500
51941,ITF4,Puglia,albicocca,180050
51960,ITE3,Marche,spinacio in serra,120
51974,ITE3,Marche,altri ortaggi in serra,215
52002,ITC4,Lombardia,albicocca,7799
52050,ITE1,Toscana,finocchio in piena aria,24021
52058,ITC4,Lombardia,mais,17080029
52097,ITF1,Abruzzo,pisello proteico ,3220
52114,ITF3,Campania,asparago in serra,101500
52199,ITG2,Sardegna,lattuga in piena aria,160812
52201,ITE4,Lazio,fragola in serra,62700
52316,ITE3,Marche,fragola in piena aria,6748
52335,ITC4,Lombardia,basilico in serra,6836
52356,ITF4,Puglia,basilico in serra,3515
52363,ITE4,Lazio,mandorla,185
52398,ITE1,Toscana,lino,10278
52432,ITF4,Puglia,cetriolo da mensa in serra,23940
52443,ITG2,Sardegna,mela,34206
52449,ITF1,Abruzzo,sedano in serra,125
52482,ITE3,Marche,mandorla,178
52515,ITD5,Emilia-Romagna,girasole,296860
52540,ITE4,Lazio,fava fresca in piena aria,25696
52546,ITE4,Lazio,prezzemolo in piena aria,455
52572,ITD3,Veneto,canapa,11770
52596,ITG2,Sardegna,carciofo in piena aria,488520
52637,ITG1,Sicilia,patata primaticcia ,1346350
52677,ITF6,Calabria,fagiolino in serra,9260
52722,ITG2,Sardegna,lattuga in serra,17390
52764,ITF1,Abruzzo,radicchio o cicoria in piena aria,376480
52800,ITE3,Marche,fragola in serra,299
52863,ITE2,Umbria,peperone in piena aria,25150
52937,ITC4,Lombardia,bietola da costa in piena aria,16915
52950,ITF4,Puglia,melanzana in piena aria,662660
53070,ITF6,Calabria,mandorla,7982
53086,ITF6,Calabria,fragola in serra,72442
53093,ITF4,Puglia,asparago in piena aria,124800
53146,ITC4,Lombardia,lattuga in serra,116420
53150,ITF3,Campania,pisello in piena aria,40535
53205,ITC1,Piemonte,girasole,109798
53273,ITC4,Lombardia,patata comune ,148861
53277,ITE1,Toscana,spinacio in serra,1065
53286,ITE1,Toscana,altri ortaggi in serra,1750
53302,ITC3,Liguria,melanzana in piena aria,2820
53316,ITG2,Sardegna,patata primaticcia ,346850
53342,ITF4,Puglia,patata comune ,237840
53366,ITF3,Campania,fagiolo e fagiolino in piena aria,449165
53368,ITF3,Campania,sorgo,3175
53379,ITD3,Veneto,nocciola,6069
53420,ITC3,Liguria,asparago in piena aria,5700
53433,ITF2,Molise,girasole,28280
53442,ITE1,Toscana,indivia (riccia e scarola) in piena aria,9726
53491,ITC1,Piemonte,altri cereali,33171
53511,ITE2,Umbria,fagiolo e fagiolino in piena aria,5180
53648,ITD3,Veneto,asparago in serra,4751
53677,ITF1,Abruzzo,cetriolo da mensa in serra,1300
53729,ITE1,Toscana,fragola in piena aria,10277
53753,ITC1,Piemonte,sedano in serra,4801
53780,ITD5,Emilia-Romagna,bietola da costa in piena aria,30146
53858,ITC3,Liguria,patata comune ,36300
